source_file,token_count,occurrence_count
A10821.txt,241585,1081
Wealth_Nations.txt,372411,970
A68617.txt,875081,910
A71306.txt,826579,255
A71305.txt,1038369,227
A07594__Circle_of_Commerce.txt,33787,226
A71307.txt,1091198,212
A06785.txt,34609,200
A10231(1).txt,899704,198
A06786.txt,226098,187
B14801__Free_Trade.txt,19457,178
A02495.txt,494916,170
A06789.txt,23058,125
A10231.txt,848278,124
A12461.txt,168255,95
A13415.txt,401307,89
A04494.txt,46887,89
A69858.txt,5602,77
A10228(1).txt,545588,73
A07834.txt,655339,66
A04763.txt,14580,61
A15069.txt,23747,57
A10228.txt,573716,49
A16053.txt,472364,49
A16275.txt,596535,48
A14292.txt,85844,46
A07363.txt,1129211,44
A10357.txt,1005175,40
A17832.txt,710901,39
A11954.txt,811529,38
A12466.txt,43709,35
A16711.txt,15316,34
A16489.txt,224626,29
A05331.txt,202241,29
A01867.txt,20961,25
A13053.txt,529509,24
A10354(1).txt,29154,24
A17958.txt,80329,23
A09741.txt,394079,22
A01095.txt,691643,21
A14770.txt,225202,21
A11395.txt,263266,20
A03066.txt,183168,20
A02826.txt,73019,20
A15627.txt,143459,19
A15685.txt,37469,19
A17385.txt,460604,18
A08536.txt,300369,18
A15072.txt,13901,18
A18071.txt,36928,17
A10354.txt,35136,17
A00593.txt,494892,15
A05339.txt,111107,15
A12471.txt,32672,15
A02626.txt,20960,15
A07439.txt,335822,14
A12778.txt,265445,14
A17384.txt,243094,14
A01108.txt,98653,14
A16490.txt,29055,14
A15591.txt,23430,14
A08122.txt,8615,14
A00665.txt,565858,13
A01006.txt,98952,13
A12460.txt,18450,13
A08123.txt,8150,13
A03206.txt,254576,12
A13821.txt,218170,12
A16682.txt,67049,12
A09039.txt,21602,12
A07165.txt,15356,12
A11649.txt,1137977,11
A16151.txt,564169,11
A13535.txt,397487,11
A02758.txt,248336,11
A06339.txt,54388,11
A12458.txt,15159,11
A04813.txt,14828,11
A09800.txt,1102803,10
A12478.txt,399680,10
A04845.txt,319959,10
A02484.txt,240626,10
A01991.txt,183388,10
A03250.txt,126525,10
A11774.txt,32850,10
A13057.txt,28396,10
A11223.txt,10603,10
A06128.txt,1193679,9
A17389.txt,323573,9
A16338.txt,149998,9
A13159.txt,94743,9
A16264.txt,77642,9
A01483.txt,71038,9
A68944.txt,50532,9
A12470.txt,13427,9
A05320.txt,13235,9
A17310.txt,341225,8
A03149.txt,277897,8
A13533.txt,262297,8
A03207.txt,223683,8
A18028.txt,188905,8
A06192.txt,31378,8
A16622.txt,28361,8
A06456.txt,27301,8
A18407.txt,24185,8
A14518.txt,11073,8
A12738.txt,716220,7
A14916.txt,392119,7
A04619.txt,325868,7
A05105.txt,307298,7
A16485.txt,266108,7
A12777.txt,144950,7
A17810.txt,141496,7
A16718.txt,58799,7
A01426.txt,41234,7
A13118.txt,21519,7
A02606.txt,21494,7
A08764.txt,16345,7
A15097.txt,16001,7
A06694(1).txt,11123,7
A03477.txt,6894,7
A04224.txt,285073,6
A09859.txt,236157,6
A17808.txt,233773,6
A15845.txt,174806,6
A09990.txt,168416,6
A09135.txt,150262,6
A03065.txt,84338,6
A16482.txt,67753,6
A08690.txt,58945,6
A04633.txt,35999,6
A16687.txt,32877,6
A05599(1).txt,15197,6
A04581.txt,10806,6
A13434.txt,6334,6
A22547.txt,834,6
A07466.txt,709851,5
A00419.txt,521343,5
A18335.txt,189512,5
A16282.txt,170173,5
A06108.txt,163480,5
A15847.txt,132759,5
A14923.txt,126087,5
A00980.txt,93328,5
A15139.txt,36220,5
A15137.txt,36155,5
A08538.txt,27026,5
A16507.txt,16251,5
A16495.txt,15762,5
A01256.txt,14932,5
A14521.txt,14931,5
A05570.txt,10369,5
A08508.txt,1767,5
A00580.txt,747340,4
A09833.txt,251735,4
A09383.txt,186066,4
A16795.txt,182873,4
A13217.txt,175075,4
A13172.txt,135585,4
A13170.txt,132249,4
A02031.txt,122414,4
A11408.txt,114700,4
A07458.txt,102552,4
A00504.txt,77553,4
A03416.txt,72691,4
A07605.txt,56254,4
